Назвнаие модели;Цена;Место продажи
электронная книга Nook Simple Touch with GlowLight BNRV350;"
1 200 грн.
";Стрый
Електронна книга з підсвічуванням ONYX BOOX Poke 3 •НОВІ•РОЗПРОДАЖ•;"
5 730 грн.
";Львов, Франковский
Kindle 6 илеал;"
1 200 грн.
";Запорожье, Александровский
Goclever tab a73;"
500 грн.
";Ирпень
Электронную книгу Mediareader AE-501 (требует ремонта);"
150 грн.
";Киев, Дарницкий
Срочно продам!!!Электронная книга pocket book 678;"
1 999 грн.
";Киев, Деснянский
В наявності Комплект Amazon Kindle Paperwhite Kids 11th 2021;"
5 250 грн.
";Тернополь
Amazon Kindle 2022. 8 гб. Новый. Запечатан. Гарантия. От магазина;"
2 699 грн.
";Львов, Галицкий
В отл состоянии Amazon Kindle 3 с оригинальным чехлом с подсветкой;"
1 700 грн.
";Киев, Оболонский
Электронная книга Amazon Kindle Paperwhite 10th Generation 8GB;"
3 640 грн.
";Киев, Голосеевский
Электронная книга Sony PSR-300. Все форматы. Русский. 5 дюймов.Магазин;"
399 грн.
";Киев, Оболонский
PocketBook 606 електронна книга;"
2 900 грн.
";Ровно
• из США • НОВАЯ! 10 Gen 2019/2021 Электронная книга Amazon Kindle;"
2 299 грн.
";Львов, Галицкий
Електронна книжка Kindle oasis 32gb graphite;"
6 000 грн.
";Львов, Галицкий
Ашка электронная;"
800 грн.
";Херсон
Kindle Peperwhite новая черного цвета;"
3 400 грн.
";Полтава
Prestigio Nobile PER3374B;"
800 грн.
";Кривой Рог, Покровский
Електронні книги PocketBook 632 Touch HD 3 Gray/Spicy Copper •НОВІ•;"
4 702 грн.
";Львов, Франковский
Електронна книга PocketBook 628 Touch Lux 5 Black/Red НОВІ•ГАРАНТІЯ•;"
3 849 грн.
";Львов, Франковский
Электронная книга.Милые кости;"
30 грн.
";Возрождения
Електронна книга Tolino shine 3hd;"
1 500 грн.
";Винница, Ленинский
Електронна книга Tolino shine;"
1 200 грн.
";Винница, Ленинский
Электронная книга  WEXLER  T7022;"
900 грн.
";Кривой Рог, Покровский
электронная книга Amazon Kindle Paperwhite DP75SDI;"
1 500 грн.
";Стрый
PocketBook IQ 701 Red;"
850 грн.
";Первомайск
Смарт-блокнот с отпечатком Lockbook, беспроводная зарядка и USB 16GB;"
3 100 грн.
";Одесса, Киевский
Kindle Paperwhite 6 Generation в идеальном состоянии;"
1 300 грн.
";Киев, Дарницкий
POCKETBOOK 602pro плата.;"
100 грн.
";Чернигов
Продам планшет PocketBook Surfpad 2 Black (PBS2-Y-CIS)  7 дюймов;"
500 грн.
";Харьков, Новобаварский
Amazon Kindle paperwhite DP75SDI;"
1 299 грн.
";Киев, Соломенский
НЕ ТУПИ. (електронная книга);"
28 грн.
";Киев, Дарницкий
Книга электронная Ergo Book 0601;"
1 200 грн.
";Одесса, Суворовский
Pocketbook Mini серый;"
950 грн.
";Днепр, Шевченковский
Электронная книга Kindle model D01100;"
300 грн.
";Запорожье, Днепровский
Электронная книга e-ink Assistant;"
1 500 грн.
";Мелитополь
Электронная книга Amazon Kindle Paperwhite 2021 Гарантия год от нас;"
5 440 грн.
";Киев, Голосеевский
Onyx Boox Nova Air Вся линейка Onyx Nova Color Air2 Note5 Leaf Lumi 2;"
10 138 грн.
";Киев, Днепровский
Электронная книга airbook city base + чехол;"
3 000 грн.
";Чугуев
Amazon Kindle 2021 НОВЫЙ НЕ РАСПЕЧАТАННЫЙ электронная книга читалка;"
2 100 грн.
";Полтава
Электроннная книга Pocketbook на запчасти, под разбор;"
294 грн.
";Киев, Шевченковский
Электронная книга Amazon Kindle 6;"
1 700 грн.
";Запорожье, Александровский
Pocketbook 630 Sense. Підсвітка;"
2 100 грн.
";Городок
Продам электронную книгу Inch A5i;"
800 грн.
";Полтава
Планшет Amazon Kindle Fire 7 требуют ремонта;"
200 грн.
";Черкассы
Продам электронную книгу Pocketbook 631 Touch HD;"
2 600 грн.
";Харьков, Слободской
Познавательная книга;"
50 грн.
";Крыжановка
Электронная  книга  TB-780HD;"
1 000 грн.
";Киев, Голосеевский
Електронная книга Amazon Kindle Paperwhite;"
1 800 грн.
";Винница, Ленинский
Электронная книга;"
400 грн.
";Угледар
продам электронную книгу Kindle.оригинал.;"
450 грн.
";Киев, Дарницкий
Pocketbook surfpad u7  планшет;"
600 грн.
";Киев, Деснянский
Kindle Paperwhite. Подсветка. Гарантия. Из США;"
799 грн.
";Киев, Оболонский
Onyx Boox Note Air. Новый. 10 дюймов. Открытая коробка. Гарантия;"
12 999 грн.
";Львов, Галицкий
Електронна книга Amazon Kindle Paperwhite 2012 EY21;"
1 500 грн.
";Киев, Дарницкий
"• 6,8"" дюйм • 2021 11 gen Новая! эл.книга Amazon Kindle PaperWhite 8Gb";"
4 699 грн.
";Львов, Галицкий
Amazo Kindle 6(8tn Gen) 2016;"
1 585 грн.
";Киев, Шевченковский
Книга  PocketBook  colorlux 801 + чехол;"
500 грн.
";Запорожье, Коммунарский
Электронная книга с подсветкой Amazon Kindle Paperwhite 10th Gen. 8GB;"
2 200 грн.
";Сумы
Kindle Paperwhite. Refurbished. Как новый. На подарок. Гарантия;"
1 499 грн.
";Львов, Галицкий
"Электронная книга Texet"" TB- 416 (разборка).";"
60 грн.
";Киев, Оболонский
Электронная книга Odys Scala 4 gb;"
300 грн.
";Одесса, Малиновский
Електронна книга Kobo Touch з Канади + шкіряний чохол;"
3 200 грн.
";Ивано-Франковск
Meizu m6 note grey;"
2 500 грн.
";Кривой Рог, Саксаганский
Onyx Boox Nova 3 Color 7,8’’. Нова. В Коробці;"
11 450 грн.
";Луцк
Електронная книга PocketBook 616 Basic Lux 2 Obsidian Black;"
3 000 грн.
";Мариуполь
Kindle Paperwhite 2017. 7 поколение. Белый. Гарантия. Магазин. Из США;"
1 399 грн.
";Львов, Галицкий
Kindle 8 поколения. Как новый. Комплект. Гарантия. Магазин. Из США;"
1 449 грн.
";Киев, Оболонский
Kindle Paperwhite 2021. 11 поколение. Новый. 7 дюймов. Гарантия;"
4 199 грн.
";Львов, Шевченковский
Електронна книжка Kindle;"
250 грн.
";Сокаль
Електронна книга Qumo Fresh!;"
150 грн.
";Львов, Лычаковский
Продам электронную книгу;"
700 грн.
";Софиевская Борщаговка
"Электронная книга Amazon Kindle Paperwhite 6"" С подсветкой Б/У";"
750 грн.
";Харьков, Киевский
электронная книга Wexler Flex ONE e-ink с гибким экраном;"
1 100 грн.
";Горбаневка
PocketBook SurfPad U7;"
850 грн.
";Черкассы
Книга электронная покетбук полный комплект;"
899 грн.
";Черкассы
Электронная   книга;"
2 000 грн.
";Лубны
Электронная книга  Pocketbook 624;"
720 грн.
";Киев, Деснянский
Электронная книга Kindle Amazon  4;"
749 грн.
";Каменское
Електрона книга;"
2 200 грн.
";Львов, Лычаковский
PocketBook Pro 902  Экран 9,7″;"
3 000 грн.
";Одесса, Малиновский
Електронна книга PocketBook 606 в новому стані;"
2 500 грн.
";Запорожье, Вознесеновский
